url,date_scraped,source,title,company,location,description,requirements,job_type
https://app.joinhandshake.com/job-search/10443802,2025-12-11 09:56:37,Handshake,"Campus Recreation, Recreation Desk Assistant",Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10498720,2025-12-11 09:56:43,Handshake,"Chemistry, Laboratory Teaching Assistant",Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10231611,2025-12-11 09:56:50,Handshake,"Information Systems, IT, Cyber Engineer & Data Science (Recent Grad/Full Time)",Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10348591,2025-12-11 09:56:56,Handshake,"Neuroscience, Cell Biology and Physiology, Research Assistant",Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10541088,2025-12-11 09:57:02,Handshake,AI & Data Science Intern,Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10237214,2025-12-11 09:57:08,Handshake,Artificial Intelligence/Machine Learning - Summer 2026 Intern,Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10470791,2025-12-11 09:57:13,Handshake,"Alumni Association, Marketing & Communications Assistant",Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10348595,2025-12-11 09:57:19,Handshake,Data Science Intern,Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10385780,2025-12-11 09:57:25,Handshake,"Academic Success Centers, Math Learning Center Leader, Level 1",Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10360939,2025-12-11 09:57:31,Handshake,"Mechanical & Materials Engineering, EGR 1010 Recitation/Lab Teaching Assistant",Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
https://app.joinhandshake.com/job-search/10525844,2025-12-11 09:57:43,Handshake,Data Science Intern,Unknown Company,"!function(f,b,e,v,n,t,s)
{if(f.fbq)return;n=f.fbq=function(){n.callMethod?
n.callMethod.apply(n,arguments):n.queue.push(arguments)};
if(!f._fbq)f._fbq=n;n.push=n;n.loaded=!0;n.version='2.0';
n.queue=[];t=b.createElement(e);t.async=!0;
t.src=v;s=b.getElementsByTagName(e)[0];
s.parentNode.insertBefore(t,s)}(window, document,'script',
'https://connect.facebook.net/en_US/fbevents.js');
fbq('init', '646099589226753');
fbq('track', 'PageView');",No Description,,Internship
